date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2017/05/21,1,1,GIDDY GIDDY(S367),O Doleuze,J Size,133,1130,10,-,1 1 1,1.09.23,4.3
2017/05/21,9,2,SNOWHOOVES(S409),S Clipperton,D Cruz,121,1077,7,4-3/4,7 4 2,1.09.99,8.6
2017/05/21,8,3,RAINBOW GOLD(T237),N Callan,L Ho,124,1022,9,5-1/4,10 6 3,1.10.10,11
2017/05/21,7,4,SOCCER BRAVE(T233),C Murray,D E Ferraris,125,1030,1,6-1/2,4 5 4,1.10.25,13
2017/05/21,12,5,STARRY STARLIES(T429),W M Lai,C W Chang,113,1180,6,6-1/2,11 10 5,1.10.25,31
2017/05/21,3,6,WINNINGLI(V377),K Teetan,A S Cruz,129,1027,3,6-1/2,2 2 6,1.10.27,16
2017/05/21,6,7,WINNER ST PAUL'S(T027),M F Poon,C H Yip,117,1085,4,6-1/2,9 7 7,1.10.28,10
2017/05/21,4,8,INVISIBLE(T418),C Y Ho,C Fownes,126,1149,11,7-1/2,8 9 8,1.10.43,9.7
2017/05/21,5,9,FORTUNE BROTHERS(V389),J Moreira,T P Yung,127,1203,2,9-1/4,3 3 9,1.10.71,3.9
2017/05/07,8,1,JOLLY GENE(T146),C Y Ho,A S Cruz,118,1073,6,-,1 1 1 1 1,2.02.34,6.4
2017/05/21,11,10,LE PEGASE(T280),M L Yeung,A Lee,111,1049,8,12-3/4,6 8 10,1.11.25,7.8
2017/05/07,1,2,ENSURING(S437),J Moreira,J Size,133,1128,4,1-1/4,8 8 7 8 2,2.02.52,2.3
2017/05/07,3,3,GREEN DISPATCH(V184),H Bowman,C S Shum,127,1166,8,1-3/4,2 2 2 2 3,2.02.59,13
2017/05/03,4,1,LITTERATEUR(V183),Z Purton,R Gibson,122,1066,12,-,12 12 12 1,1.40.35,9.5
2017/05/21,10,11,FAST ROCKET(V064),H T Mo,A T Millard,105,1187,12,17-1/4,5 11 11,1.11.99,99
2017/05/21,2,12,HELLO KIMBERLEY(P205),K C Ng,T K Ng,125,1037,5,18-3/4,12 12 12,1.12.24,57
2017/05/07,6,4,LOTUS STRIKES BACK(T145),T Berry,J Moore,123,1016,5,3-1/2,7 7 8 7 4,2.02.88,5.4
2017/05/07,7,5,ENORMOUS HONOUR(T236),H W Lai,Y S Tsui,122,1149,9,6,9 9 9 9 5,2.03.30,65
2017/05/03,8,2,BEAUTY LOVE(V025),K K Chiong,A S Cruz,113,1059,11,HD,1 2 2 2,1.40.37,27
2017/05/03,6,3,WISKY(T368),U Rispoli,J Size,120,1164,4,HD,5 6 5 3,1.40.39,5.4
2017/05/21,14,1,KEEN VENTURE(A024),M L Yeung,A Lee,113,1075,13,-,13 13 13 1,1.34.59,42
2017/05/07,9,6,HAPPY ROCKY(S147),K C Leung,A Lee,114,1102,3,7-1/4,6 6 5 6 6,2.03.50,19
2017/05/03,1,4,SPICY SURE(T234),N Callan,K L Man,133,1152,1,1/2,4 4 3 5,1.40.44,6.4
2017/05/03,5,5,SUPER SPRINTER(V105),H T Mo,C S Shum,111,1038,7,N,2 1 1 4,1.40.42,18
2017/05/21,3,2,BOOMING DELIGHT(A113),S Clipperton,J Moore,131,1169,9,3/4,4 4 3 2,1.34.71,4.4
2017/05/21,9,3,JOLLY JOLLY(T087),Z Purton,P O'Sullivan,120,1211,14,1,1 1 1 3,1.34.75,5.8
2017/05/07,2,7,SHARP SAILOR(V188),N Callan,C S Shum,128,1019,7,7-1/2,5 4 4 3 7,2.03.53,9
2017/05/03,9,6,MAGNETISM(V114),K Teetan,D E Ferraris,118,1094,3,2-1/4,8 8 8 6,1.40.70,13
2017/05/21,6,4,DOYENI(T114),K K Chiong,A S Cruz,117,1163,2,1-1/4,7 7 9 4,1.34.79,8.4
2017/05/07,4,8,RAZOR QUEST(S146),H N Wong,C W Chang,120,1058,1,8,4 5 6 5 8,2.03.60,9.5
2017/05/03,5,1,MY BLESSING(V164),H T Mo,C H Yip,121,1059,7,-,3 2 1 1 1,1.50.20,4.4
2017/05/03,3,7,SUNNY WIN(V254),H N Wong,L Ho,117,1204,9,2-1/2,3 3 4 7,1.40.76,5.5
2017/05/21,7,5,NASSA(A119),K Teetan,A T Millard,121,1105,11,1-1/4,5 6 7 5,1.34.79,11
2017/05/07,5,9,UP AND COMING(S266),M L Yeung,K W Lui,125,1121,2,8,3 3 3 4 9,2.03.62,12
2017/05/03,2,2,EASTERN PROWESS(V295),N Callan,L Ho,133,994,10,2-1/4,2 4 3 3 2,1.50.54,5
2017/05/03,7,8,VARA PEARL(S138),J Moreira,A T Millard,119,1044,8,4-1/2,10 10 9 8,1.41.06,3.1
2017/05/03,2,9,PLAY IT(A239),C Y Ho,C Fownes,127,1097,2,5,7 7 7 9,1.41.16,99
2017/05/21,2,6,SEASONS BLOOM(V410),K C Leung,C S Shum,131,1024,7,1-1/4,8 9 8 6,1.34.80,9.1
2017/05/03,7,3,MALAYAN PEARL(N416),C Y Ho,D Cruz,124,1185,11,2-1/2,6 7 6 7 3,1.50.59,20
2017/05/03,10,10,STARSHIP(V379),M L Yeung,P O'Sullivan,115,1126,5,5-1/2,9 9 10 10,1.41.24,22
2017/05/03,11,11,AGREE(A116),K C Leung,J Moore,115,1189,10,5-1/2,11 11 11 11,1.41.25,22
2017/05/21,4,7,DYNAMISM(T188),C Murray,D E Ferraris,125,1141,4,2,9 8 5 7,1.34.93,99
2017/05/03,3,4,GOLDEN PARTNERS(S286),J Moreira,A T Millard,132,1081,4,2-1/2,10 9 10 9 4,1.50.60,2.4
2017/05/03,8,5,WEALTHY FORTUNE(P324),K Teetan,K L Man,125,1013,12,2-1/2,9 10 9 10 5,1.50.61,25
2017/05/03,12,12,MY GIFT(V242),W M Lai,P F Yiu,115,1045,6,6-3/4,6 5 6 12,1.41.42,99
2017/05/21,12,8,RODRICO(A091),D Whyte,J Moore,117,1044,1,2-1/2,6 5 6 8,1.34.98,41
2017/05/21,8,9,GONNA RUN(T094),C Y Ho,C Fownes,118,1042,6,2-3/4,12 12 10 9,1.35.05,40
2017/05/13,5,1,BEAUTY KINGDOM(T189),K K Chiong,A S Cruz,122,1096,4,-,4 1 1 1,1.23.22,8.8
2017/05/03,6,6,BEST JADE TRIUMPH(P070),B Prebble,A Lee,128,1013,6,3-1/2,4 5 4 5 6,1.50.75,9.2
2017/05/03,10,7,GENTLEMEN(V060),K K Chiong,P F Yiu,117,1093,1,3-3/4,1 1 2 2 7,1.50.80,9.8
2017/05/13,4,1,LUCKY DOLLAR(A021),Z Purton,T P Yung,125,1173,2,-,3 6 1,0.56.71,2.7
2017/05/21,10,10,BEAUTY WAY(A159),M F Poon,A S Cruz,107,1218,10,3,2 3 4 10,1.35.05,9.9
2017/05/21,13,11,ENSURING(S437),H W Lai,J Size,115,1152,8,3-1/2,11 11 12 11,1.35.13,38
2017/05/13,4,2,SUNNY WAY(V176),Z Purton,J Moore,129,1062,14,N,6 6 3 2,1.23.28,3.5
2017/05/03,9,8,HAPPY FRIENDSHIP(S074),H W Lai,D E Ferraris,124,965,3,3-3/4,8 6 7 6 8,1.50.81,99
2017/05/03,11,9,DRAGON GLORY(P130),M L Yeung,C W Chang,112,1076,2,4-3/4,5 3 5 4 9,1.50.96,63
2017/05/13,14,2,MONEY BOY(A008),K Teetan,J Size,114,1077,3,1-3/4,5 3 2,0.57.01,6.2
2017/05/13,8,3,TRIUMPHANT JEWEL(P310),U Rispoli,D Cruz,120,1109,4,3-3/4,10 8 3,0.57.32,60
2017/05/13,1,1,KING GENKI(V181),Z Purton,A S Cruz,133,1224,8,-,1 1 1 1,1.38.41,3.2
2017/05/21,1,12,EASTERN EXPRESS(T192),J Moreira,J Size,133,1147,12,3-3/4,3 2 2 12,1.35.20,4.4
2017/05/21,11,13,BULLISH GLORY(A118),K C Ng,A S Cruz,112,1041,3,4-1/2,14 14 14 13,1.35.31,99
2017/05/13,13,1,HAPPY JOURNEY(S299),M L Yeung,L Ho,115,1054,1,-,4 6 9 1,1.22.99,10
2017/05/13,6,3,MONGOLIAN KING(A098),U Rispoli,Y S Tsui,126,1118,12,1/2,12 10 9 3,1.23.31,5.7
2017/05/03,4,10,SWEET BEAN(S205),H N Wong,C Fownes,125,1002,5,5-1/2,12 12 12 12 10,1.51.08,33
2017/05/13,11,4,SUNSHINE UNIVERSE(A130),C Schofield,C W Chang,116,1069,14,4-1/2,6 4 4,0.57.43,10
2017/05/13,7,5,TIMELY ARRIVED(S431),M L Yeung,Y S Tsui,120,1170,7,5-3/4,4 2 5,0.57.61,26
2017/05/13,5,2,ROYAL PERFORMER(V405),O Doleuze,C Fownes,126,986,2,1/2,9 10 12 2,1.38.48,4.5
2017/05/13,11,3,TOP ACE(T199),K Teetan,A T Millard,115,1141,5,3,12 11 7 3,1.38.86,8.4
2017/04/23,7,1,VANILLA(P439),Z Purton,C Fownes,131,1100,3,-,7 8 8 5 1,1.47.08,3.4
2017/05/21,5,14,LUCKY GIRL(T355),H T Mo,C S Shum,113,1194,5,9-3/4,10 10 11 14,1.36.16,15
2017/05/13,6,2,TANG FLEMING(A067),H T Mo,C S Shum,117,1143,13,HD,12 8 1 2,1.23.02,7.3
