date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2017/05/21,1,1,飛霞(S367),杜利萊,蔡約翰,133,1130,10,-,1 1 1,1.09.23,4.3
2017/05/21,9,2,踏雪名駒(S409),祈普敦,告達理,121,1077,7,4-3/4,7 4 2,1.09.99,8.6
2017/05/21,8,3,跑出彩虹(T237),郭能,何良,124,1022,9,5-1/4,10 6 3,1.10.10,11
2017/05/21,7,4,勇晉神駒(T233),麥偉利,霍利時,125,1030,1,6-1/2,4 5 4,1.10.25,13
2017/05/21,12,5,福之寶(T429),賴維銘,鄭俊偉,113,1180,6,6-1/2,11 10 5,1.10.25,31
2017/05/21,3,6,勁伶利(V377),田泰安,告東尼,129,1027,3,6-1/2,2 2 6,1.10.27,16
2017/05/21,6,7,保羅威威(T027),潘明輝,葉楚航,117,1085,4,6-1/2,9 7 7,1.10.28,10
2017/05/21,4,8,金武士(T418),何澤堯,方嘉柏,126,1149,11,7-1/2,8 9 8,1.10.43,9.7
2017/05/21,5,9,有福氣(V389),莫雷拉,容天鵬,127,1203,2,9-1/4,3 3 9,1.10.71,3.9
2017/05/21,11,10,飛壹般(T280),楊明綸,李易達,111,1049,8,12-3/4,6 8 10,1.11.25,7.8
2017/05/21,10,11,天寳(V064),巫顯東,苗禮德,105,1187,12,17-1/4,5 11 11,1.11.99,99
2017/05/21,2,12,金巴裡好(P205),吳嘉晉,吳定強,125,1037,5,18-3/4,12 12 12,1.12.24,57
2017/05/10,1,1,包裝騎士(T230),史卓豐,姚本輝,132,1192,12,-,3 2 2 2 1,1.49.77,6.5
2017/05/10,10,2,龍船(V186),杜利萊,蔡約翰,120,1049,8,頸位,2 3 3 3 2,1.49.82,11
2017/05/10,6,3,嘉應之友(T370),潘頓,蘇保羅,123,1096,6,頸位,6 7 7 7 3,1.49.82,4.3
2017/05/10,4,4,金滙龍華(S242),郭能,沈集成,129,1123,5,3/4,5 5 5 5 4,1.49.91,22
2017/05/10,8,5,魅力知友(A136),田泰安,蔡約翰,123,1123,11,2,1 1 1 1 5,1.50.08,5.6
2017/05/24,4,1,八心之友(A007),杜利萊,蔡約翰,126,1033,1,-,1 1 1,1.10.31,4.4
2017/05/10,9,6,火箭駒(A214),祈普敦,約翰摩亞,121,1188,1,2-1/2,7 8 9 8 6,1.50.16,25
2017/05/10,5,7,勢必跑(T094),何澤堯,方嘉柏,122,1037,4,2-1/2,11 12 11 11 7,1.50.17,20
2017/05/17,12,1,愛樂寶(A150),田泰安,方嘉柏,114,1090,2,-,1 1 1,1.10.17,3
2017/05/24,10,2,天賜寶(V401),莫雷拉,徐雨石,115,1066,8,3-3/4,10 10 2,1.10.93,3.4
2017/05/24,1,3,金碧旺旺(T183),祈普敦,蘇保羅,132,1107,9,4-1/4,5 4 3,1.11.02,11
2017/05/10,7,8,開心駿馬(V008),吳嘉晉,告東尼,118,1109,9,2-1/2,4 4 4 4 8,1.50.18,15
2017/05/10,2,9,勁趣(T188),韋達,霍利時,130,1143,7,3-1/4,10 10 8 9 9,1.50.29,10
2017/05/17,1,2,開心有你(T402),蔣嘉琦,姚本輝,128,1119,3,1-1/4,2 2 2,1.10.36,8.3
